title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
LFB financial and performance reporting 2025/26,2gqmr,"As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this...","As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this information is available on our external website within 25 working days after each quarter end. This page also includes monthly performance reports for metrics which support the LFB's Community Risk Management Plan (CRMP), in the form of the 'monthly KPI report exception focus' documents. The London Fire Commissioner is the fire and rescue authority for London, and the LFC runs the London Fire Brigade.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2gqmr,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"london fire brigade, london fire commissioner, budget, perfomance, KPIs, Community Risk Management Plan (CRMP)",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2026-02-25."
Police Force Strength,e7xoj,"Numbers of police officers, police civilian staff, and Police Community Support Officers in the Metropolitan Police Force. Figures are reported by MOPAC to...","Numbers of police officers, police civilian staff, and Police Community Support Officers in the Metropolitan Police Force. Figures are reported by MOPAC to the GLA's Police and Crime Committee each month. The figures are full-time equivalent figures (FTE) in order to take account of part-time working, job sharing etc, and do not represent a measure of headcount. Note: We are awaiting the December workforce report for the November workforce statistics. This is estimated to be received by the 21st of January. For more information, here",Public Safety,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e7xoj,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,CSV,UNKNOWN,2013-05 to 2026-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2026-02-24.
London Fire Brigade senior staff - gifts and hospitality register and expenses claimed,e6ypp,Details of senior London Fire Brigade staff expenses claims and register of gifts and hospitality. Please note that postholders in the office shown in the...,"Details of senior London Fire Brigade staff expenses claims and register of gifts and hospitality. Please note that postholders in the office shown in the data (e.g. Commissioner, Director) will change over time. It should not be assumed that historic data relates to current postholders; details of current postholders in the LFB top management structure are available here on the LFB website. Senior staff are defined as those designated as a ‘head of service’ (assistant directors and assistant commissioners), plus Directors/Deputy Commissioners and the London Fire Commissioner. Data is by financial year. Data is updated within a month of the quarter end. It is possible that items may be included in a subsequent financial year where the notification has been made close to the end of a previo",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e6ypp,Open Data Commons Open Database License (ODbL) — http://www.opendefinition.org/licenses/odc-odbl,Quarterly,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"London Fire Brigade, london fire commissioner, expenses, hospitality, gifts, finance",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2026-02-05."
MPS Homicide dashboard data,2l1w8,"The data used in the MPS Homicide dashboard is available here Homicide dashboard | Metropolitan Police , along with the related data definitions. Please...","The data used in the MPS Homicide dashboard is available here Homicide dashboard | Metropolitan Police , along with the related data definitions. Please note that, this data set running quarterly behind with quarterly update. What does it show and how was the content agreed? In English and Welsh law, Homicide consists of the sum of 4 separate offences: Murder (Common Law) * Manslaughter (sec 5 of the Offences Against The Person Act 1861) Infanticide (Infanticide Act 1938) Corporate Manslaughter (Corporate Manslaughter and Corporate Homicide Act 2007) these will not show gender for People Proceeded Against. *Note that since 1996, the 'Year and a day rule' has been abolished. Therefore crimes of GBH can be upgraded to murder if the victim dies from their injuries at any point in time past th",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/dataset/2l1w8,UNKNOWN,Quarterly,CSV,UNKNOWN,2003-01 to 2024-03,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2026-02-03.
LFB trade union facility time granted,e11nk,Section 66 of the Employment Rights Act 2025 repeals trade union facility time publication requirements for relevant public sector employers. The data below...,"Section 66 of the Employment Rights Act 2025 repeals trade union facility time publication requirements for relevant public sector employers. The data below is the legacy data published before the repeal (Feb 2026) The London Fire Brigade (LFB) had to publish annually the amount of trade union facility time granted. Data was published in accordance with the Trade Union (Facility Time Publication Requirements) Regulations, and the Local Government Transparency Code 2015. The London Fire Commissioner is the fire and rescue authority for Greater London, and runs the London Fire Brigade.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e11nk,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2026-01-16."
London Fire Brigade - fleet list,2ko1x,The London Fire Brigade operates a large number of emergency (operational) and non-operational vehicles. There are regular Freedom of Information requests...,"The London Fire Brigade operates a large number of emergency (operational) and non-operational vehicles. There are regular Freedom of Information requests asking for the details of these vehicles and this list is published to largely meet that need. It will be updated annually; usually in the last quarter of the calendar year. From 2020, the list also includes details of appliances removed from service during the year and new appliances coming into service. The London Fire Commissioner is the fire and rescue authority for London, and runs the London Fire Brigade. The format of the fleet list changed in October 2019 (i.e. vehicle registration numbers and vehicle locations removed). This change reflects national security considerations; the format of the list reflects a similar list publishe",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2ko1x,Open Data Commons Open Database License (ODbL) — http://www.opendefinition.org/licenses/odc-odbl,Annual,"CSV, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"LFB London Fire Brigade, appliances",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2026-01-07."
MPS Freedom of Information Requests Dashboard Data,vdr44,This report contains all Freedom of Information (Freedom of Information Act 2000) requests received by the Metropolitan Police Service and logged on our...,This report contains all Freedom of Information (Freedom of Information Act 2000) requests received by the Metropolitan Police Service and logged on our corporate logging system since January 2015. There is also information on Appeals and complaints from January 2015 onwards. The Information Commissioners Office (ICO) recommend that organisations publish their own performance in answering Freedom of Information Requests on a quarterly basis. This report is our response to that recommendation. Counting Rules One submission from a member of the public will count as one request. Multiple submissions from Caveats Data on how a request was closed is only available from January 2019. The data used in the MPS Freedom of Information Requests Dashboard Data is available here Freedom of Information ,Public Safety,Metropolitan Police Service,https://data.london.gov.uk/dataset/vdr44,UNKNOWN,Quarterly,CSV,UNKNOWN,2015-01 to 2025-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2026-01-05.
MPS Right of Access Performance Dashboard,v8w6w,This report contains all Right of Access (Data Protection Act 2018) requests received by the Metropolitan Police Service and logged on our corporate logging...,"This report contains all Right of Access (Data Protection Act 2018) requests received by the Metropolitan Police Service and logged on our corporate logging system since May 2018. In addition, there is information on Subject Access Requests (Data Protection Act 1998) received after 01/01/2015 up to the introduction of the 2018 Act. There is also information on Appeals and complaints from January 2015 onwards covering both the 1998 and 2018 legislation. The Information Commissioners Office (ICO) recommend that organisations publish their own performance in answering Subject Access/Right of Access Requests on a quarterly basis. This report is our response to that recommendation. Counting Rules One submission from a member of the public will count as one request. Multiple submissions from the",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/dataset/v8w6w,UNKNOWN,Quarterly,CSV,UNKNOWN,2015-01 to 2025-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2026-01-05.
Public Perceptions of the Police,2lz3x,"Data on the public's perception of the police, taken from the Mayors Office for Policing and Crime's (MOPAC) Public Attitude Survey (PAS). Responses from...","Data on the public's perception of the police, taken from the Mayors Office for Policing and Crime's (MOPAC) Public Attitude Survey (PAS). Responses from the following questions are available for download: Feels well informed about local police activities over the last 12 months Agree the police listen to the concerns of local people Agree the police can be relied upon to be there when needed Agree the police treat everyone fairly regardless of who they are Agree the police are dealing with the things that matter to this community Knows how to contact their local ward officer Police do a good job in the local area From March 2022 responses from the following questions are available for download: Agree the police listen to the concerns of local people Agree the police can be relied upon to ",Public Safety,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2lz3x,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,CSV,UNKNOWN,2014-12 to 2025-09,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2025-12-18.
LFB Payments over £250 - 2025/26,2gqxr,Payments over £250 made by the London Fire Brigade* as part of the government and Mayor of London's transparency agenda. This dataset is for 2025/26 (April...,Payments over £250 made by the London Fire Brigade* as part of the government and Mayor of London's transparency agenda. This dataset is for 2025/26 (April 2025 to March 2026) only. Data for previous years can be found here: Data for 2024/25 | Data for 2023/24 | Data for 2022/23 | Data for 2021/22 | Data for 2020/21 | Data for 2019/20 | Data for 2018/19 | Data for 2017/18 | Data for 2016/17 and earlier The Local Government Transparency Code 2015 requires the data to indicate VAT for payments which cannot be recovered; there are no such payments for LFB as all VAT is recoverable. * The London Fire Commissioner is the fire and rescue authority for London and runs the London Fire Brigade (LFB).,Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2gqxr,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"London Fire Brigade, London Fire Commissioner, LFC, payments",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2025-12-16."
