title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
"London Fire Brigade - gender, ethnicity and disability pay gap",2wm5z,Data on this page shows the gender and ethnicity pay gap reporting and (from 2021) disability pay gap reporting for staff employed by the London Fire...,"Data on this page shows the gender and ethnicity pay gap reporting and (from 2021) disability pay gap reporting for staff employed by the London Fire Brigade. The London Fire Commissioner (LFC) is the fire and rescue authority for London, and runs the London Fire Brigade (LFB). As a functional body reporting to the Mayor of London, LFB has a commitment to undertake work to narrow any gaps. LFB agree with the Mayor of London that this is necessary in order to address any inequalities and reduce gaps where these are evident. The Equality Act 2010 (Specific Duties and Public Authorities) Regulations 2017 requires that the London Fire Brigade publish the difference between the rate of pay of male and female full-pay employees to show any gender pay gap. Annual data is available from March 2016",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2wm5z,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Annual,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: crime-and-community-safety, employment-and-skills, income-poverty-welfare, transparency. Last updated: 2025-11-21."
LFB Payments over £250 - 2024/25,e766x,This dataset is for 2024/25 (April 2024 to March 2025) only. See also: Data for 2023/24 Data for 2022/23 Data for 2021/22 Data for 2020/21 Data for 2019/20...,This dataset is for 2024/25 (April 2024 to March 2025) only. See also: Data for 2023/24 Data for 2022/23 Data for 2021/22 Data for 2020/21 Data for 2019/20 Data for 2018/19 Data for 2017/18 Data for 2016/17 and earlier Payments over £250 made by the London Fire Brigade* as part of the government and Mayor of London's transparency agenda. The Local Government Transparency Code 2015 requires the data to indicate VAT for payments which cannot be recovered; there are no such payments for LFB as all VAT is recoverable. The Local Government Transparency Code also requires a 'merchant category' to be added to payment details. LFB has ' ProClass ' data and this is added to published data. Please note that most of LFB suppliers and contractors currently have a ProClass classification but a small nu,Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e766x,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"London Fire Brigade, London Fire Commissioner, LFC, payments",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2025-09-23."
LFB financial and performance reporting 2024/25,2r7qw,"As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this...","As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this information is available on our external website within 25 working days after each quarter end. This page also includes monthly performance reports for metrics which support the LFB's Community Risk Management Plan (CRMP), in the form of the 'monthly KPI report exception focus' documents. The London Fire Commissioner is the fire and rescue authority for London, and the LFC runs the London Fire Brigade.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2r7qw,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"PDF, SPREADSHEET",UNKNOWN,2024-04 to 2025-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"London Fire Brigade, London Fire Commissioner, budget, performance, KPIs, Community Risk Management Plan (CRMP)",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2025-06-06."
LFB financial and performance reporting 2023/24,2oz3w,"As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this...","As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this information is available on our external website within 25 working days after each quarter end. This page also includes monthly performance reports for metrics which support the LFB's Community Risk Management Plan (CRMP), in the form of the 'monthly KPI report exception focus' documents. The London Fire Commissioner is the fire and rescue authority for London, and the LFC runs the London Fire Brigade.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2oz3w,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"London Fire Brigade, London Fire Commissioner, budget, perfomance, KPIs, Community Risk Management Plan (CRMP)",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2025-06-06."
MPS Stolen Animals Dashboard Data,e756x,"***April 2025 These data-sets, and the associated MPS Stolen Animals Dashboard, are no longer being updated. *** The data used in the MPS Stolen Animals...","***April 2025 These data-sets, and the associated MPS Stolen Animals Dashboard, are no longer being updated. *** The data used in the MPS Stolen Animals Dashboard Data is available here MPS Stolen Animals Dashboard Data - London Datastore , along with the related data definitions. Please note that, this data set is running monthly, a month in arrears. The data shows a count of stolen animals as shown on the dashboard linked below (including count, borough, pet type, recover, year/ month and the offence type). The count is calculated by the pet count so there may be one offence/ crime record of dogs stolen, but if there were three dogs stolen during the offence then we will use the pet count of three.",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/dataset/e756x,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Monthly,CSV,UNKNOWN,2010-01 to 2023-11,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"stolen animal, stolen pet",snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2025-04-23.
LFB financial and performance reporting 2022/23,vd4dn,"As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this...","As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this information is available on our external website within 25 working days after each quarter end. The London Fire Commissioner is the fire and rescue authority for London, and the LFC runs the London Fire Brigade.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/vd4dn,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"london fire brigade, london fire commissioner, budget, finance, performance, KPIs",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2025-02-24."
Transport Crime in London,23gg1,"Number of crimes and crime rate by type of public transport, including bus, LU / DLR, London Overground, and London Tramlink. Monthly data released 3 months...","Number of crimes and crime rate by type of public transport, including bus, LU / DLR, London Overground, and London Tramlink. Monthly data released 3 months at a time at end of each quarter. The BTP is responsible for policing the rail network in London, including the TfL managed London Underground (LU), the Docklands Light Railway (DLR), London Tramlink and the London Overground (LO) services. Crime figures for the LU, DLR, London Tramlink and LO have been provided by the BTP. Crime figures for LU and DLR are reported together as these networks are policed by the same division of the BTP. The BTP only deals with crime relating to the rail and Tramlink network The MPS is responsible for policing the rest of London’s transport network, including the bus network. The figures reported for the",Public Safety,Transport for London (TfL),https://data.london.gov.uk/dataset/23gg1,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2009-04 to 2024-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"london-underground, crime, trams, dlr, offences, buses, overground, tube, nto",snowflake,Medium,"Topics: crime-and-community-safety, transport. Last updated: 2024-11-07."
LFB Payments over £250 - 2023/24,246o6,This dataset is for 2023/24 (April 2023 to March 2024) only. See also: Data for 2022/23 Data for 2021/22 Data for 2020/21 Data for 2019/20 Data for 2018/19...,This dataset is for 2023/24 (April 2023 to March 2024) only. See also: Data for 2022/23 Data for 2021/22 Data for 2020/21 Data for 2019/20 Data for 2018/19 Data for 2017/18 Data for 2016/17 and earlier Payments over £250 made by the London Fire Brigade* as part of the government and Mayor of London's transparency agenda. The Local Government Transparency Code 2015 requires the data to indicate VAT for payments which cannot be recovered; there are no such payments for LFB as all VAT is recoverable. The Local Government Transparency Code also requires a 'merchant category' to be added to payment details. LFB has ' ProClass ' data and this is added to published data. Please note that most of LFB suppliers and contractors currently have a ProClass classification but a small number of payments ,Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/246o6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"London Fire Brigade, London Fire Commissioner, LFC, payments",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2024-08-22."
LFB people data and performance,2rqpm,This page provides a range of data about the staff who work for the London Fire Brigade. There is the LFB Human Resources (HR) Statistical Abstract which...,"This page provides a range of data about the staff who work for the London Fire Brigade. There is the LFB Human Resources (HR) Statistical Abstract which provides a range of data from 2014 onwards, and is updated quarterly. There are also bi-annual narrative People Services Performance Reports , which include a commentary about performance along with appendices containing the supporting data. The data covers workforce composition, including senior management/top earners data, recruitment outcomes, leavers, sickness and absence (including levels of s tress, anxiety and depression (SAD) , grievance, discipline, and includes breakdowns for gender, disability, ethnicity, sexual identity (orientation) and age (where such data is available). Data is shown for the organisation as a whole and by o",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2rqpm,UNKNOWN,Quarterly,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2024-07-16."
MPS Crime Statistics Financial Year 2022/23,v86rm,"The data used in the in the Annual Crime Statistics 2022 - 23 Dashboard is available here: 2022 - 2023 crime statistics | Metropolitan Police , along with...","The data used in the in the Annual Crime Statistics 2022 - 23 Dashboard is available here: 2022 - 2023 crime statistics | Metropolitan Police , along with the related data definitions. Please note that, this data sets is updated on the 4th of each April. Last extraction occurred April 2023. Total Notifiable Offence (TNO) data follows the Home Office counting rules for recorded crime ( https://www.gov.uk/government/publications/counting-rules-for-recorded-crime ). The “Other Crime” offence data follows the Home Office counting rules but have been grouped by specific features (e.g. Hate Crime): please see dashboard for definitions. Measures include Offences, Sanction Detections, and the Sanction Detection Rate (total number of sanction detections divided by the total number of offences in a ",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/dataset/v86rm,UNKNOWN,Unknown,SPREADSHEET,UNKNOWN,2022-04 to 2023-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: crime-and-community-safety. Last updated: 2024-02-05.
