title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Mayor's Office Gifts and Hospitality Register,2yjw7,Register of any gift or hospitality worth £25 or over received by Mayor's Office in connection with their official duties. This currently links to the...,Register of any gift or hospitality worth £25 or over received by Mayor's Office in connection with their official duties. This currently links to the existing pages on the GLA website where the information can be found. We are working on making this data available in an easier to use format. Relevant link: https://www.london.gov.uk/about-us/greater-london-authority-gla/good-governance/gifts-and-hospitality,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2yjw7,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Quarterly,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"gifts, hospitality, finance, mayor",snowflake,Medium,Topics: transparency. Last updated: 2013-09-04.
GLA Senior Staff Salaries,v8p33,"The Code of Recommended Practice for Local Authorities on Data Transparency , issued by the Department for Communities & Local Government in September 2011,...","The Code of Recommended Practice for Local Authorities on Data Transparency , issued by the Department for Communities & Local Government in September 2011, set out a number of principles for local authorities which were intended to underpin best practice in the creation of greater transparency through the publication of public data. One of the key requirements was the publication of senior employee salaries above £58,200 together with names, job descriptions, responsibilities and budgets. View senior staff salaries for the GLA, together with links to job descriptions. A departmental organisation chart (PDF) is also available. It should be noted that the Code provided for individuals to be given the option to refuse consent for their name to be published and, where the name is given as 'wi",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8p33,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"salary, staff",snowflake,Medium,Topics: transparency. Last updated: 2013-08-15.
GLA Expenditure over £250,vq8w7,"The Mayor is committed to providing financial transparency and has instructed that regular reports should be published on all GLA expenditure over £1,000,...","The Mayor is committed to providing financial transparency and has instructed that regular reports should be published on all GLA expenditure over £1,000, including VAT. From summer 2010 the reporting threshold was reduced to £500 (including VAT) and from June 2012 the threshold has been reduced to £250. These reports are available from the GLA website in both comma delimited format (CSV) and portable document format (PDF), and are listed chronologically (by month). See more on the GLA website",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vq8w7,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Monthly,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"spend, expenditure, transparency, finance, spending",snowflake,Medium,Topics: transparency. Last updated: 2013-08-12.
GLA Poll Results 2011,2o85n,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2o85n,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2011-01-01.
GLA Poll Results 2010,24885,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/24885,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2010-05-31.
GLA Poll Results 2009,em99y,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/em99y,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2009-01-01.
