title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Comparison of estimates of 0-18 year olds,2r8pm,This report from the GLA Intelligence Unit compares 2011 census estimates of the population aged 0-18 to the following alternative data sources: ONS 2010...,This report from the GLA Intelligence Unit compares 2011 census estimates of the population aged 0-18 to the following alternative data sources: ONS 2010 based sub-national population projections (SNPP); GLA 2011 round population projections; General Practitioner registrations; and Child benefit claims.,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r8pm,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2011-01 to 2011-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, data, young-people",snowflake,Medium,"Topics: demographics, young-people. Last updated: 2014-07-07."
Unrounded 2011 Census Estimates,23g3d,This package follows on from the first release of 2011 Census data. The data includes a population estimate for males and females by single-year of age for...,This package follows on from the first release of 2011 Census data. The data includes a population estimate for males and females by single-year of age for each local authority in England and Wales. The data is unrounded. <,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/23g3d,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,ZIP,UNKNOWN,2011-01 to 2011-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"population, census, demography",snowflake,Medium,Topics: demographics. Last updated: 2014-07-07.
"London Fuel Poverty Risk Indicators, Wards",e5mkx,"These fuel poverty risk indicators provide users with a nuanced picture of the impact of various risk factors, exacerbating factors and indicators for fuel...","These fuel poverty risk indicators provide users with a nuanced picture of the impact of various risk factors, exacerbating factors and indicators for fuel poverty. It was developed with the Assembly Health and Public Services Committee in their investigation into fuel poverty in London. The Committee's report explains how the tool could be used strategically to help organisations target specific wards that are at high risk of fuel poverty. Appendix 4 in the report set out the rationale for the risk factors present in the tool. Users can adjust the weighting of the indicators to show their relative significance. Isolating specific indicators could help organisations determine what type of support is likely to have greatest impact in an area. For example, wards with a low score for cavity w",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e5mkx,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2014-10 to 2014-10,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"wards, fuel-poverty, poverty, housing",snowflake,Medium,"Topics: demographics, health, housing. Last updated: 2014-07-07."
Improvements in Estimating Migration,23grd,On 17th November 2011 the Office for National Statistics (ONS) as part of their Migration Statistics Improvement Programme (MSIP) released their improved...,On 17th November 2011 the Office for National Statistics (ONS) as part of their Migration Statistics Improvement Programme (MSIP) released their improved methodology for producing local authority long-term migration estimates within England and Wales. This Update presents a brief overview of the improved migration methodology adopted by the ONS in respect to its impact on migration and population estimates. Improvements to the immigration distributional methodology has impacted on both the estimated number of migrants and total population between 2006 and 2010. The number of immigrants in London as a result is estimated to have risen by 129.8 thousand (2006 to 2010) compared to previous figures. Ten London boroughs are in the top 20 local authorities for upward indicative revisions in thei,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/23grd,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2014-10 to 2014-10,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"population, migration",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
"Languages Spoken by Pupils, Borough & MSOA",2k8pr,Data from the 2008 Annual School Census shows for the first time the distribution of different languages spoken in London. 2008 represents the first year in...,"Data from the 2008 Annual School Census shows for the first time the distribution of different languages spoken in London. 2008 represents the first year in which this data was available for all state schools. The publication of this data follows research by Institute for Education, Centre for Analysis of Social Exclusion and the London Borough of Newham. A brief report on the research is retained on UCL’s website .",Demographics,London Borough of Newham,https://data.london.gov.uk/dataset/2k8pr,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2008-01 to 2008-12,Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"language, pupils, diversity, schools",snowflake,Medium,"Topics: demographics, education, young-people. Last updated: 2014-07-04."
Estimated Number of Londoners with Reduced Mobility,e79mm,"Data on the estimated number of Londoners with reduced mobility in 2010, 2018 and 2031 as reported in the London Assembly's Transport Committee report,...","Data on the estimated number of Londoners with reduced mobility in 2010, 2018 and 2031 as reported in the London Assembly's Transport Committee report, Accessibility of the transport network , November 2010. Created by the GLA Intelligence Unit and London Assembly Scrutiny Team using GLA Population Projections and TfL data. TfL's Travel in London report which contains details of the proportion of people with travel-related disabilities which has been used to produce this data set is available at: http://www.tfl.gov.uk/corporate/about-tfl/publications/1482.aspx",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e79mm,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2010-01 to 2031-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"accessibility, transport, reduced-mobility, demography, population, disability",snowflake,Medium,"Topics: demographics, transport. Last updated: 2014-07-04."
"Country of Birth (2001 Census) - Detailed, Borough",e68on,Detailed country of birth data from 2001 census Commissioned Table C0413. Data subject to a Country of Birth threshold of ten or more people in each area of...,"Detailed country of birth data from 2001 census Commissioned Table C0413. Data subject to a Country of Birth threshold of ten or more people in each area of residence. Cells in these tables have been randomly adjusted by ONS to avoid the release of confidential data. Users may also find of interest country of birth profiles from 2001 Census data, which uses data from Commissioned Table C0116.",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/e68on,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"diversity, immigration, population, country-of-birth",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
"Ethnic group by Ward, 2001",em9rg,Census Key Statistics Table KS06: Ethnic Group. Total 2001 population broken down by 16 groups. Census day was 29 April 2001. Ward data was extracted using...,Census Key Statistics Table KS06: Ethnic Group. Total 2001 population broken down by 16 groups. Census day was 29 April 2001. Ward data was extracted using SASPAC.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/em9rg,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML, SPREADSHEET",UNKNOWN,2001-01 to 2001-12,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, demography, population, wards, ethnic-group",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
"Religion by Ward, 2001",2ryj1,Census Key Statistics Table KS7: Religion. Total 2001 population broken down by nine groups. Census day was 29 April 2001. Ward data was extracted using SASPAC.,Census Key Statistics Table KS7: Religion. Total 2001 population broken down by nine groups. Census day was 29 April 2001. Ward data was extracted using SASPAC.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2ryj1,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML, SPREADSHEET",UNKNOWN,2001-01 to 2001-12,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"population, religion, census, faith, demography",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
"Households by Household Type, 2001 Ward",2goqr,"Census Univariate Table UV68: Household type by ward. Includes data on Couple households, with and without dependent children, Lone Parents, and Single...","Census Univariate Table UV68: Household type by ward. Includes data on Couple households, with and without dependent children, Lone Parents, and Single person households. A dependent child is a person in a household aged 0 - 15 (whether or not in a family) or a person aged 16 - 18 who is a full-time student and in a family with parent(s). Census day was 29 April 2001. LSOA data is available on Neighbourhood Statistics. Ward data was extracted using SASPAC.",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2goqr,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML, SPREADSHEET",UNKNOWN,2001-01 to 2001-12,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, households, population, census",snowflake,Medium,Topics: demographics. Last updated: 2014-07-04.
