title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Raising Children in London polling,e1rkk,"Polling conducted in October 2025 on behalf of the London Assembly, with findings from polling Londoners on how they feel about raising children in London.","Polling conducted in October 2025 on behalf of the London Assembly, with findings from polling Londoners on how they feel about raising children in London.",Demographics,GLA Opinion Research,https://data.london.gov.uk/dataset/e1rkk,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"PDF, SPREADSHEET",UNKNOWN,2025-10 to 2025-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,children,snowflake,Medium,Topics: young-people. Last updated: 2025-12-12.
Free School Meals (FSM) Universal Registration Pupil Premium Impact Data Snapshot,29y91,"City Intelligence Unit analysis of pupil premium income from FSM universal registration approaches: Snapshot from 17 London boroughs, 2023/24 - 2024/25...","City Intelligence Unit analysis of pupil premium income from FSM universal registration approaches: Snapshot from 17 London boroughs, 2023/24 - 2024/25 Since launching Universal Free School Meals (UFSM) in 2023, the Mayor has made significant investments in supporting London boroughs to implement free school meal universal registration approaches . These approaches identify pupils eligible for Government funded free school meals (FSM) and maximise pupil premium funding for schools. The GLA have used data sources available to build a picture of potential gains in pupil premium funding across a snapshot of 17 London boroughs as a result of FSM universal registration. This note summarises the multiple strands of work which have each reported additional FSM eligible pupils and pupil premium in",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/29y91,UNKNOWN,One off,PDF,UNKNOWN,2023-09 to 2025-07,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: young-people. Last updated: 2025-11-21.
London Schools Atlas,29j4y,"The London Schools Atlas is an innovative interactive online map of London providing a uniquely detailed and comprehensive picture of London schools,...","The London Schools Atlas is an innovative interactive online map of London providing a uniquely detailed and comprehensive picture of London schools, current patterns of attendance and potential future demand for school places across the capital. The Atlas is part of the Mayor's programme of initiatives aimed at driving up standards in education and ensuring there are enough good places for all children in the city. Covering primary and secondary provision, including academies and free schools, the London Schools Atlas for the first time uses data to illustrate current patterns of demand for school places at a pan-London level, rather than within boroughs alone. You can use the atlas at the link below: London Schools Atlas - homepage Download the Data: The files below contain the home loca",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/29j4y,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,One off,"CSV, HTML, SPREADSHEET, ZIP",UNKNOWN,2014-10 to 2014-10,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"pupils, projections, schools",snowflake,Medium,Topics: young-people. Last updated: 2024-05-02.
