title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Number of Bicycle Hires,2r84d,"Total number of hires of the Santander Cycle Hire Scheme, by day, month and year. Data for each day since the launch on 30 July 2010.","Total number of hires of the Santander Cycle Hire Scheme, by day, month and year. Data for each day since the launch on 30 July 2010.",Other,Transport for London (TfL),https://data.london.gov.uk/dataset/2r84d,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Monthly,SPREADSHEET,UNKNOWN,2010-07 to 2026-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"annually, cycle-hire, monthly, daily, scheme, bike, hire",snowflake,Medium,"Topics: sport, transport. Last updated: 2026-02-19."
Cycle Hire availability,expzx,"This TfL feed contains the name, location, co-ordinates and maximum number of docking points for all operational Santander Cycle Hire docking stations. It...","This TfL feed contains the name, location, co-ordinates and maximum number of docking points for all operational Santander Cycle Hire docking stations. It also contains the number of available bikes (excluding locked or faulty bikes), and number of available docking points. Documentation is available from the TfL Unified API",Other,Transport for London (TfL),https://data.london.gov.uk/dataset/expzx,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,HTML,UNKNOWN,UNKNOWN,Coordinates,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"cycle-hire, travel, transport, bike, bicycle",snowflake,Medium,"Topics: sport, transport. Last updated: 2024-06-19."
Cycle Flows on the TFL Road Network,2g1y0,This dataset will no longer be updated. Cycle flows on the Transport for London Road Network (TLRN). The purpose of this indicator is to assess the level of...,"This dataset will no longer be updated. Cycle flows on the Transport for London Road Network (TLRN). The purpose of this indicator is to assess the level of cycle use on the TLRN. The overall ambition is to increase cycling levels by 400% such that by 2025 cycling will equate to a 5% mode share of all journey trips. This indicator does not represent cycling across London as a whole, It only represents cycling on the 5% of London’s roads that are the TLRN. The indicator is presented as an indexed flow relative to a baseline of March 2000 (a flow level that is represented as 100 on the index). Definition: Sixty automatic cycle counters on the TLRN provide sample counts of cyclists using the network. The indicator converts these counts into an index that is used to represent increases in cycl",Other,Transport for London (TfL),https://data.london.gov.uk/dataset/2g1y0,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2000-03 to 2016-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"ride, bikes, bicycle, cycling, road, travel",snowflake,Medium,"Topics: sport, transport. Last updated: 2021-10-26."
Walking and Cycling by Borough,vd6j4,"Table showing proportion of residents who walk for at least 30 minutes at a given frequency, and proportion of residents who cycle (any length or purpose)...","Table showing proportion of residents who walk for at least 30 minutes at a given frequency, and proportion of residents who cycle (any length or purpose) at a given frequency, by local authority and region. 1 Results are grouped according to the area where respondents live, which may not be the same as the area where they walk or cycle. 2 ""Cycle"" in this table refers to any cycling, irrespective of length or purpose. ""Walk"" in this table refers to any walking, of at least 30 minutes, irrespective of purpose. 3 95% CI refers to 95% Confidence Interval, calculated using the Wilson Score method (see Notes and Definitions document). 4 Sample excludes those who responded ""don’t know"" to the relevant question, but includes those who stated that they are unable to walk. 5 Sample sizes for the Is",Other,Department for Transport,https://data.london.gov.uk/dataset/vd6j4,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2010-01 to 2018-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"walking, cycling, foot, travel, bike, adults",snowflake,Medium,"Topics: sport, transport. Last updated: 2020-02-24."
TfL Cycle Hire Locations,23g9j,Name and coordinates of the Santander Cycle Hire docking station locations launched in Summer 2010. (Click here),Name and coordinates of the Santander Cycle Hire docking station locations launched in Summer 2010. (Click here),Other,Transport for London (TfL),https://data.london.gov.uk/dataset/23g9j,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,Point Location,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"cycling, geo, transport, bicycle",snowflake,Medium,"Topics: sport, transport. Last updated: 2014-06-06."
"Travel to Work by Bicycle, Ward",e1zg8,"The spreadsheet shows numbers and percentages of people in work aged 16-74 who travel to work by bicycle for all wards in London, from 2001 and 2011 Census....","The spreadsheet shows numbers and percentages of people in work aged 16-74 who travel to work by bicycle for all wards in London, from 2001 and 2011 Census. Included percentage point change, and rankings. Top 10 Wards in 2011: Queensbridge, Hackney, +19.1% Clissold, Hackney, +18.9% Stoke Newington Central, Hackney, +18.8% Dalston, Hackney, +18.3% Hackney Downs, Hackney, +17.7% Hackney Central, Hackney, +16.9% Leabridge, Hackney, +15.9% Victoria, Hackney, +15.8% Chatham, Hackney, +14.8% Wick, Hackney, +14.6%",Other,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/e1zg8,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, PDF, SPREADSHEET",UNKNOWN,2001-01 to 2011-12,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"city-of-london, greenwich, tower-hamlets, hammersmith-and-fulham, merton, ealing, croydon, bikes, haringey, lewisham, travel-to-work, sutton, southwark, camden, enfield, barking-and-dagenham, cycling, bromley, wandsworth, hillingdon, barnet, wards, kensington-and-chelsea, brent, hounslow, newham, islington, bexley, westminster, bike, cycle, hackney, redbridge, waltham-forest, havering, kingston-upon-thames, transport, bicycle, census, richmond-upon-thames, lambeth, harrow",snowflake,Medium,"Topics: sport, transport. Last updated: 2014-02-18."
London Assembly Cycle Survey Responses,v8px1,"Results of first public survey of users of the cycle hire scheme and cycle superhighways used to inform London Assembly Transport Committee report, ' Pedal...","Results of first public survey of users of the cycle hire scheme and cycle superhighways used to inform London Assembly Transport Committee report, ' Pedal Power: cycle hire scheme and cycle superhighways ', November 2010. Results of online survey by London Assembly Transport Committee of 1,297 users of the cycle hire scheme and cycle superhighways undertaken over September to October 2010. The survey was self-selecting and as such is not intended to be representative of all users.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8px1,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, SPREADSHEET",UNKNOWN,2010-09 to 2010-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"assembly, bike-hire, superhighways, survey, public-transport, cycling, transport",snowflake,Medium,"Topics: sport, transparency, transport. Last updated: 2013-08-12."
